epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,702.462,1.39446,0.45541,0.98701,1.35352,0.0955,0.0005,0.0005
2,808.628,0.82047,0.45887,0.93593,2.57617,0.0900891,0.00108911,0.00108911
3,915.398,0.65833,0.58701,1,1.51172,0.0846663,0.00166634,0.00166634
4,1021.88,0.58418,0.4658,0.97576,3.2207,0.0792317,0.00223169,0.00223169
5,1123.61,0.57827,0.47273,0.98095,1.94336,0.0737852,0.00278516,0.00278516
6,1227.05,0.59576,0.55931,0.95065,1.44141,0.0683268,0.00332675,0.00332675
7,1340.45,0.61454,0.47186,0.94632,1.76172,0.0628565,0.00385646,0.00385646
8,1438.28,0.64922,0.46061,0.98788,1.83301,0.0573743,0.00437429,0.00437429
9,1542.65,0.67292,0.51948,0.99048,1.375,0.0518802,0.00488024,0.00488024
10,1648.7,0.68966,0.36017,0.99827,1.60156,0.0463743,0.00537431,0.00537431
11,1750.49,0.74799,0.35758,0.99221,1.75586,0.0408565,0.0058565,0.0058565
12,1855.73,0.76639,0.39307,0.98355,2.30664,0.0353268,0.00632681,0.00632681
13,1960.16,0.79664,0.31342,0.99221,2.74414,0.0297852,0.00678524,0.00678524
14,2067.42,0.77741,0.36883,0.99134,1.52344,0.0242318,0.00723179,0.00723179
15,2176.53,0.84744,0.29264,0.88918,2.47266,0.0186665,0.00766646,0.00766646
16,2280.98,0.98629,0.35065,0.97143,1.81934,0.0130892,0.00808925,0.00808925
17,2381.12,1.02823,0.17229,0.68831,512.5,0.008416,0.008416,0.008416
18,2492.76,1.0459,0.31688,0.92381,nan,0.008317,0.008317,0.008317
19,2592.64,1.04454,0.22165,0.78355,295,0.008218,0.008218,0.008218
20,2702.31,0.99715,0.2961,0.94545,1.90527,0.008119,0.008119,0.008119
21,2814.06,1.00408,0.37316,0.98095,1.90332,0.00802,0.00802,0.00802
22,2927.63,0.99509,0.49091,0.94978,1.57812,0.007921,0.007921,0.007921
23,3038.17,0.99424,0.38182,0.85541,nan,0.007822,0.007822,0.007822
24,3145.67,1.11464,0.27186,0.97229,nan,0.007723,0.007723,0.007723
25,3249.43,1.17829,0.22078,0.96883,3.25391,0.007624,0.007624,0.007624
26,3359.88,1.43748,0.28485,0.87619,nan,0.007525,0.007525,0.007525
27,3467.89,1.59094,0.28831,0.87706,nan,0.007426,0.007426,0.007426
28,3577.56,1.5784,0.28831,0.83723,nan,0.007327,0.007327,0.007327
29,3691.79,1.48597,0.08485,0.96883,11,0.007228,0.007228,0.007228
30,3794.22,1.42696,0.31342,0.96364,14.4219,0.007129,0.007129,0.007129
31,3903.87,1.47454,0.31255,0.97576,2.31836,0.00703,0.00703,0.00703
32,4011.09,1.37124,0.15844,0.97489,2.80469,0.006931,0.006931,0.006931
33,4123.73,1.29875,0.27792,0.97576,1.79883,0.006832,0.006832,0.006832
34,4222.53,1.41003,0.27879,0.98009,1.67383,0.006733,0.006733,0.006733
35,4326.7,1.28413,0.28831,0.97576,1.66211,0.006634,0.006634,0.006634
36,4430.39,1.27192,0.28831,0.97489,1.65625,0.006535,0.006535,0.006535
37,4536.46,1.38918,0.36537,0.96623,1.60352,0.006436,0.006436,0.006436
38,4644.59,1.28226,0.32727,0.97749,1.55176,0.006337,0.006337,0.006337
39,4750.08,1.33123,0.25887,0.98009,1.57129,0.006238,0.006238,0.006238
40,4857.82,1.49419,0.31515,0.92554,2.43164,0.006139,0.006139,0.006139
41,4964.78,1.62953,0.31429,0.92468,nan,0.00604,0.00604,0.00604
